title,status,image,chCount,vCount,rating,userCount,synopsis,genre
Boku no Hero Academia,ongoing,https://media.kitsu.io/manga/poster_images/26004/large.jpg?1617636984,,0,85.59,102977,"What would the world be like if 80 percent of the population manifested superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?

Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…

(Source: Viz Media)","['comedy', 'super-power', 'school', 'action']"
Tokyo Ghoul,finished,https://media.kitsu.io/manga/poster_images/7176/large.jpg?1541845686,144,14,84.89,106659,"Kaneki Ken is an unassuming university student living in Tokyo. However, his comfortable life is turned on its head after a string of violent murders pulls him unwillingly into the city's ghoul inhabited underbelly; a place that lives by the rule of eat or be eaten. Now, every day is a struggle to protect his life, his loved ones, and his humanity.","['mystery', 'supernatural', 'psychological', 'thriller', 'horror', 'drama', 'action']"
Boku no Hero Academia: Yuuei Hakusho,ongoing,https://media.kitsu.io/manga/poster_images/38138/large.jpg?1471390401,,0,84.47,311,"Prose short stories featuring the everyday school lives of My Hero Academia’s fan-favorite characters.

(Manga Updates)","['comedy', 'super-power', 'school', 'action']"
Jujutsu Kaisen,ongoing,https://media.kitsu.io/manga/poster_images/40815/large.jpg?1617637325,,,84.47,3494,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…

(Source: Viz Media)","['supernatural', 'demons', 'fantasy', 'action']"
Kimetsu no Yaiba,finished,https://media.kitsu.io/manga/poster_images/37280/large.jpg?1597699338,207,23,84.45,29488,"Since ancient times, rumors have abounded of man-eating demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a demon slayer also roams the night, hunting down these bloodthirsty demons. For young Tanjirou, these rumors will soon to become his harsh reality...

Ever since the death of his father, Tanjirou has taken it upon himself to support his family. Although their lives may be hardened by tragedy, they've found happiness. But that ephemeral warmth is shattered one day when Tanjirou finds his family slaughtered and the lone survivor, his sister Nezuko, turned into a demon. To his surprise, however, Nezuko still shows signs of human emotion and thought...

Thus begins Tanjirou's quest to fight demons and turn his sister human again.

(Source: VIZ Media)

Volume 7 contains a bonus chapter about Kanao Tsuyuri.
Volume 10 contains a bonus chapter about Inosuke Hashibira.","['supernatural', 'historical', 'demons', 'action']"
One Piece,ongoing,https://media.kitsu.io/manga/poster_images/38/large.jpg?1434249476,,,84.44,81577,"Gol D. Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.

(Source: MAL Rewrite)","['comedy', 'sports', 'super-power', 'fantasy', 'action', 'friendship', 'adventure']"
Attack on Titan,finished,https://media.kitsu.io/manga/poster_images/14916/large.jpg?1491099787,141,34,84.42,74162,"A century ago, the grotesque giants known as Titans appeared and consumed all but a few thousand humans. The survivors took refuge behind giant walls. Today, the threat of the Titans is a distant memory, and a boy named Eren yearns to explore the world beyond Wall Maria. But what began as a childish dream will become an all-too-real nightmare when the Titans return and humanity is once again on the brink of extinction … Attack on Titan is the award-winning and New York Times-bestselling series that is the manga hit of the decade! Spawning the monster hit anime TV series of the same name, Attack on Titan has become a pop culture sensation. 

(Source: Kodansha Comics)

Volume 3 contains the special story ""Rivai Heishichou"" (リヴァイ兵士長, Captain Levi).
Volume 5 contains the side story ""Ilse no Techou"" (イルゼの手帳, Ilse's Notebook).","['mystery', 'supernatural', 'super-power', 'fantasy', 'horror', 'drama', 'action']"
The Last: Naruto the Movie,finished,https://media.kitsu.io/manga/poster_images/26999/large.jpg?1434308310,5,1,84.4,298,"The moon is beginning to fall, and at the rate it's going, it is doomed to fall on the Earth. The countdown for the survival of the planet begins. Among the havoc, Hinata's younger sister Hanabi is captured by the mysterious enemy, Toneri Ootsutsuki. Naruto must overcome great danger on a mission to save Hanabi and the world along with Hinata, Sai, Shikamaru, and Sakura is their final story. ""The final story is a first love.""

 (Source: ANN)","['martial-arts', 'super-power', 'action']"
Naruto Ninden Series,finished,https://media.kitsu.io/manga/poster_images/20055/large.jpg?1434293495,5,1,84.39,35942,"A whole village has suddenly disappeared and in its place, there is the mountain Hyatsuki. Can the story of the ""Jutsu of the moving mountains"" really be true? And where is Narutos old rival Renge? Naruto's job is it to find the answers to all these questions.
Note: The novel is presented as if it were written by Jiraiya.","['sports', 'adventure']"
Ansatsu Kyoushitsu,finished,https://media.kitsu.io/manga/poster_images/19682/large.jpg?1434292697,187,21,84.39,49873,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?","['comedy', 'sci-fi', 'supernatural', 'psychological', 'school', 'action']"
